code_barre,Titre,Auteurs,Editeur,Type de document,Format,Langues,Mots_cles,Note_generale,Cover_URL,Local_Cover_File,error
9782020558563,Dharma et créativité,Chögyam Trungpa,"Editeur Inconnu, 2003",Texte imprimé,222 pages,fr,Fiction,"L'expression "" art dharma "" renvoie à un travail de création issu d'un état méditatif éveillé. Art direct et naturel, il est dénué d'agression. Dans ce livre, Chogyam Trungpa Rinpoché explique que c'est aussi un moyen d'apprécier la nature des choses telles qu'elles sont et de les exprimer sans s'efforcer de lutter ni d'accomplir quelque chose. L'ouvre d'art dharma fait ressortir ce qu'il y a de bon, de digne dans la situation qu'elle représente. Au fond, ce sont l'intérêt de l'artiste pour les détails de la vie et sa disposition à toujours découvrir qui donnent naissance à cette vraie dignité. L'auteur insiste également sur la nécessité pour l'artiste de bien apprendre son métier, de cultiver son talent et d'assimiler les connaissances et les intuitions transmises par 1a tradition, de génération en génération. Enfin, il montre en quoi les principes de l'art dharma s'appliquent au quotidien dans la mesure où toute activité peut fournir l'occasion de se détendre et de s'ouvrir à l'univers.",,,
9782846901291,Dictionnaire de francs-maconnerie,Auteur Inconnu,"Editeur Inconnu, 2004",Texte imprimé,379 pages,fr,Freemasonry,Pas de description disponible.,,,
9782020066969,Histoire du capitalisme,Michel Beaud,"Editeur Inconnu, 1984-01-01",Texte imprimé,357 pages,fr,Capitalism,Pas de description disponible.,,,
